,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ssd,hdd,Touchscreen,Price,rating
0,ASUS,Intel,Core i3,10,4,0,1024,0,34649,2
1,Lenovo,Intel,Core i3,10,4,0,1024,0,38999,3
2,Lenovo,Intel,Core i3,10,4,0,1024,0,39999,3
3,ASUS,Intel,Core i5,10,8,512,0,0,69990,3
4,ASUS,Intel,Core i5,10,8,0,1024,0,58799,3
5,Lenovo,Intel,Core i5,10,4,0,1024,0,49999,3
6,acer,AMD,Ryzen 5,10,4,0,512,0,59990,4
7,acer,AMD,Ryzen 5,10,4,0,512,0,93700,4
8,acer,AMD,Ryzen 5,10,4,0,512,0,72990,4
9,ASUS,Intel,Core i3,11,4,256,0,0,35990,3
10,HP,Intel,Core i3,11,8,256,0,1,56490,3
11,HP,Intel,Core i5,11,8,256,0,0,65390,3
12,HP,Intel,Core i3,7,4,0,1024,0,32955,4
13,HP,Intel,Core i5,7,4,0,1024,0,46200,4
14,ASUS,Intel,Core i3,11,4,256,0,0,34429,4
15,Lenovo,Intel,Core i3,10,8,256,0,0,37990,4
16,ASUS,Intel,Core i3,11,4,256,0,0,35990,4
17,ASUS,Intel,Core i3,10,8,256,0,0,33980,4
18,HP,Intel,Core i3,11,8,256,0,0,39990,4
19,DELL,Intel,Core i3,10,8,256,0,0,39490,4
20,HP,Intel,Core i3,11,8,256,0,1,53990,4
21,acer,Intel,Core i3,11,8,256,0,0,38990,3
22,ASUS,Intel,Core i3,11,8,256,0,0,37990,4
23,ASUS,Intel,Core i3,11,8,256,0,0,37890,4
24,Lenovo,Intel,Core i3,11,8,256,0,0,38990,4
25,DELL,Intel,Core i3,11,8,256,0,0,41990,3
26,ASUS,Intel,Core i3,11,8,256,0,0,45990,4
27,Lenovo,Intel,Core i3,11,8,256,0,0,39990,4
28,DELL,Intel,Core i3,11,8,256,0,0,42490,4
29,DELL,Intel,Core i3,10,4,256,0,0,36990,4
30,Lenovo,Intel,Core i3,11,8,256,0,1,53990,4
31,ASUS,Intel,Core i3,11,8,256,0,0,36990,4
32,Lenovo,Intel,Core i3,10,4,256,0,0,38940,4
33,DELL,Intel,Core i3,10,4,256,0,0,39490,4
34,Lenovo,Intel,Core i3,10,8,256,0,0,39999,5
35,DELL,Intel,Core i3,11,8,256,0,0,42990,4
36,DELL,Intel,Core i3,11,8,256,0,1,49990,4
37,DELL,Intel,Core i3,11,8,256,0,0,41490,4
38,DELL,Intel,Core i3,11,8,256,0,0,41990,4
39,Lenovo,Intel,Core i3,11,8,256,0,0,41990,4
40,ASUS,Intel,Core i3,11,8,256,0,0,38490,3
41,Lenovo,Intel,Core i3,11,4,256,0,0,38990,4
42,Lenovo,Intel,Core i3,11,4,256,0,0,44990,4
43,Lenovo,Intel,Core i3,10,4,256,0,0,36490,3
44,Lenovo,Intel,Core i3,10,8,256,0,0,38970,3
45,HP,Intel,Core i3,11,4,256,0,0,44900,4
46,MSI,Intel,Core i3,10,4,256,0,0,38990,4
47,DELL,Intel,Core i3,11,4,256,0,0,44427,3
48,ASUS,Intel,Core i3,10,4,256,0,0,35990,3
49,Lenovo,Intel,Core i3,10,4,256,0,0,40200,3
50,Lenovo,Intel,Core i3,10,4,256,0,0,40990,3
51,DELL,Intel,Core i3,10,4,256,0,0,42490,3
52,DELL,Intel,Core i3,11,4,256,0,1,71999,4
